"","electrode","chanNo","theta","radius","radianTheta","x","y","amplitude","Times"
"1","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,-0.1519,483.4
"2","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,0.00849999999999973,147.46
"3","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,0.0721000000000001,92.773
"4","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,0.507,398.44
"5","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,-0.4543,-136.72
"6","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,-0.3551,-174.8
"7","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,-1.8867,169.92
"8","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,0.8226,-66.406
"9","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,-0.6181,108.4
"10","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,0.3571,421.88
"11","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,0.1723,-107.42
"12","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,0.9544,560.55
"13","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,-0.2722,-116.21
"14","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,0.1738,225.59
"15","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,-0.0696000000000001,436.52
"16","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,-0.1638,293.95
"17","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,0.0269999999999997,-182.62
"18","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,-0.1403,41.992
"19","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,0.1631,318.36
"20","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,-0.4597,526.37
"21","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,-0.3516,422.85
