"","electrode","chanNo","theta","radius","radianTheta","x","y","amplitude","Times"
"1","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,2.6229,483.4
"2","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,2.5597,147.46
"3","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,1.4904,92.773
"4","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,2.8184,398.44
"5","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,1.6206,-136.72
"6","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,2.2425,-174.8
"7","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,1.3447,169.92
"8","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,1.7093,-66.406
"9","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,1.7644,108.4
"10","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,2.2888,421.88
"11","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,1.0989,-107.42
"12","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,3.0619,560.55
"13","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,1.3416,-116.21
"14","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,1.8284,225.59
"15","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,1.6333,436.52
"16","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,1.2969,293.95
"17","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,2.1826,-182.62
"18","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,2.2304,41.992
"19","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,0.7448,318.36
"20","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,2.0334,526.37
"21","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,1.0282,422.85
"22","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,1.9488,-127.93
"23","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,1.9573,-188.48
"24","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,2.2339,-198.24
"25","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,2.1576,460.94
"26","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,1.9315,121.09
"27","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,2.2067,31.25
"28","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,1.7743,-12.695
"29","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,1.2149,521.48
"30","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,2.1075,473.63
"31","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,1.7454,-149.41
"32","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,1.7948,331.05
"33","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,1.5103,131.84
"34","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,2.0154,381.84
"35","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,2.6189,-106.45
"36","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,2.7232,224.61
"37","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,1.2528,-129.88
"38","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,1.9653,-97.656
"39","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,2.174,56.641
"40","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,1.9814,-82.031
"41","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,1.304,80.078
"42","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,1.6575,281.25
"43","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,1.3297,53.711
"44","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,2.3349,95.703
"45","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,2.068,-142.58
"46","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,1.9029,301.76
"47","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,2.0587,-179.69
"48","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,2.1369,-40.039
"49","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,1.3992,297.85
"50","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,1.8585,-96.68
"51","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,1.6186,552.73
"52","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,1.2895,489.26
"53","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,1.6349,-190.43
"54","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,3.0228,155.27
"55","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,1.2942,355.47
"56","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,2.3337,16.602
"57","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,1.4348,252.93
"58","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,1.4413,537.11
"59","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,2.2891,465.82
"60","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,1.8163,245.12
"61","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,1.639,150.39
